iter	Passed	Remaining
0	144	144800
1	146	72953
2	147	48925
3	148	36855
4	148	29624
5	149	24792
6	150	21350
7	151	18762
8	152	16754
9	152	15144
10	153	13833
11	154	12730
12	155	11797
13	156	10998
14	156	10305
15	157	9700
16	158	9169
17	159	8697
18	160	8275
19	161	7890
20	161	7543
21	162	7225
22	163	6940
23	164	6676
24	164	6432
25	165	6207
26	166	5999
27	167	5812
28	168	5632
29	168	5464
30	169	5306
31	170	5157
32	171	5020
33	172	4890
34	172	4769
35	173	4653
36	174	4543
37	175	4440
38	176	4340
39	176	4246
40	177	4156
41	178	4071
42	179	3989
43	180	3911
44	180	3837
45	181	3764
46	182	3696
47	183	3631
48	183	3568
49	184	3508
50	185	3452
51	186	3397
52	187	3344
53	187	3292
54	188	3243
55	189	3195
56	190	3148
57	191	3103
58	191	3060
59	192	3018
60	193	2978
61	194	2938
62	195	2900
63	195	2863
64	196	2827
65	197	2793
66	198	2759
67	199	2728
68	199	2696
69	200	2664
70	201	2635
71	202	2607
72	203	2578
73	203	2550
74	204	2523
75	205	2496
76	206	2470
77	206	2445
78	207	2420
79	208	2396
80	209	2373
81	209	2350
82	210	2324
83	211	2302
84	211	2281
85	212	2260
86	213	2240
87	214	2220
88	215	2202
89	215	2183
90	216	2164
91	217	2146
92	218	2128
93	219	2111
94	219	2094
95	220	2077
96	221	2060
97	222	2044
98	222	2028
99	223	2013
100	224	1997
101	225	1983
102	226	1968
103	226	1954
104	227	1940
105	228	1927
106	229	1913
107	230	1900
108	230	1887
109	231	1874
110	232	1861
111	233	1848
112	233	1836
113	234	1824
114	235	1812
115	236	1800
116	236	1787
117	237	1776
118	238	1765
119	239	1754
120	240	1743
121	240	1731
122	241	1720
123	242	1711
124	243	1701
125	243	1691
126	244	1680
127	245	1671
128	246	1661
129	246	1652
130	247	1642
131	248	1633
132	249	1624
133	249	1615
134	250	1606
135	251	1597
136	252	1588
137	253	1580
138	253	1571
139	254	1563
140	255	1555
141	255	1546
142	256	1538
143	257	1530
144	258	1522
145	259	1515
146	259	1507
147	260	1500
148	261	1493
149	262	1486
150	263	1479
151	263	1472
152	264	1464
153	265	1457
154	266	1450
155	266	1443
156	267	1436
157	268	1430
158	269	1423
159	269	1417
160	270	1409
161	271	1403
162	271	1396
163	272	1390
164	273	1383
165	274	1377
166	274	1371
167	275	1365
168	276	1359
169	277	1353
170	278	1348
171	278	1343
172	279	1338
173	280	1332
174	281	1327
175	282	1321
176	282	1315
177	283	1310
178	284	1304
179	285	1299
180	286	1294
181	286	1288
182	287	1283
183	288	1278
184	289	1273
185	289	1268
186	290	1263
187	291	1259
188	292	1254
189	293	1249
190	293	1244
191	294	1239
192	295	1235
193	296	1230
194	296	1225
195	297	1221
196	298	1216
197	299	1212
198	300	1207
199	300	1202
200	301	1198
201	302	1194
202	303	1189
203	303	1185
204	304	1181
205	305	1176
206	306	1172
207	306	1168
208	307	1164
209	308	1160
210	309	1156
211	309	1152
212	310	1148
213	312	1146
214	313	1144
215	314	1140
216	315	1137
217	316	1134
218	316	1130
219	317	1127
220	318	1123
221	319	1120
222	320	1116
223	321	1112
224	321	1109
225	322	1105
226	323	1102
227	324	1098
228	325	1095
229	326	1091
230	326	1087
231	327	1084
232	328	1081
233	329	1077
234	330	1074
235	330	1070
236	331	1067
237	332	1064
238	333	1060
239	333	1057
240	334	1053
241	335	1050
242	336	1046
243	336	1043
244	337	1040
245	338	1037
246	339	1034
247	340	1031
248	340	1028
249	341	1025
250	342	1021
251	343	1018
252	343	1015
253	344	1012
254	345	1009
255	346	1006
256	346	1003
257	347	1000
258	348	997
259	349	994
260	350	991
261	350	988
262	351	985
263	352	983
264	353	980
265	354	977
266	355	974
267	355	971
268	356	968
269	357	966
270	358	963
271	358	960
272	359	957
273	360	954
274	361	952
275	361	949
276	362	946
277	363	943
278	364	941
279	364	938
280	365	935
281	366	933
282	367	931
283	368	928
284	369	925
285	369	923
286	370	920
287	371	918
288	372	915
289	373	913
290	373	911
291	374	908
292	375	906
293	376	903
294	377	901
295	377	898
296	378	896
297	379	893
298	380	891
299	381	889
300	381	886
301	382	884
302	383	881
303	384	879
304	385	877
305	385	874
306	386	872
307	387	870
308	388	867
309	388	865
310	389	862
311	390	860
312	391	858
313	391	856
314	392	853
315	393	851
316	394	849
317	395	847
318	395	845
319	396	842
320	397	840
321	398	838
322	398	836
323	399	833
324	400	831
325	400	829
326	401	826
327	402	824
328	403	822
329	403	819
330	404	817
331	405	815
332	406	813
333	406	811
334	407	809
335	408	808
336	409	805
337	410	803
338	411	802
339	412	800
340	413	798
341	414	796
342	414	794
343	415	792
344	416	790
345	417	788
346	417	786
347	418	784
348	419	782
349	420	780
350	420	778
351	421	776
352	422	774
353	423	773
354	424	771
355	425	769
356	426	767
357	426	765
358	427	763
359	428	761
360	429	759
361	430	757
362	430	755
363	431	754
364	432	752
365	433	750
366	434	748
367	435	747
368	436	746
369	437	745
370	438	743
371	439	742
372	440	740
373	441	738
374	442	736
375	442	734
376	443	733
377	444	731
378	445	729
379	446	727
380	447	726
381	447	724
382	448	722
383	449	721
384	450	719
385	451	717
386	451	715
387	452	714
388	453	712
389	454	710
390	455	708
391	455	707
392	456	705
393	457	703
394	458	701
395	458	700
396	459	698
397	460	696
398	461	694
399	462	693
400	463	691
401	463	690
402	464	688
403	465	686
404	466	684
405	467	683
406	467	681
407	468	679
408	469	678
409	470	676
410	471	675
411	471	673
412	472	671
413	473	669
414	474	668
415	474	666
416	475	665
417	476	663
418	477	662
419	478	660
420	479	659
421	479	657
422	480	655
423	481	654
424	482	652
425	483	651
426	484	649
427	484	648
428	485	646
429	486	644
430	487	643
431	488	641
432	488	640
433	489	638
434	490	637
435	491	635
436	492	634
437	492	632
438	493	630
439	494	629
440	495	627
441	495	626
442	496	624
443	497	622
444	498	621
445	498	619
446	499	618
447	500	616
448	501	615
449	502	613
450	503	612
451	503	610
452	504	609
453	505	607
454	506	606
455	506	604
456	507	603
457	508	601
458	509	600
459	510	598
460	510	597
461	511	595
462	512	594
463	513	592
464	514	591
465	514	589
466	515	588
467	517	587
468	517	586
469	518	585
470	519	583
471	520	582
472	521	580
473	523	580
474	524	579
475	524	577
476	525	576
477	526	575
478	527	574
479	529	573
480	530	572
481	531	570
482	532	569
483	533	568
484	533	566
485	534	565
486	535	564
487	536	563
488	537	561
489	538	560
490	539	559
491	540	557
492	541	557
493	542	556
494	544	555
495	544	553
496	545	552
497	546	551
498	548	550
499	548	548
500	549	547
501	550	546
502	551	544
503	552	543
504	554	543
505	555	542
506	556	541
507	557	540
508	558	538
509	559	537
510	560	536
511	561	535
512	562	533
513	563	532
514	563	531
515	564	529
516	565	528
517	566	527
518	567	526
519	568	524
520	569	523
521	570	522
522	571	521
523	572	520
524	573	519
525	574	517
526	575	516
527	576	515
528	577	513
529	577	512
530	579	511
531	580	510
532	581	509
533	582	508
534	583	507
535	584	505
536	585	504
537	586	503
538	586	502
539	587	500
540	588	499
541	589	498
542	590	496
543	591	496
544	592	494
545	593	493
546	594	492
547	595	490
548	596	489
549	599	490
550	600	489
551	601	488
552	602	486
553	603	485
554	604	484
555	605	483
556	606	482
557	607	481
558	607	479
559	608	478
560	609	477
561	610	476
562	612	475
563	612	473
564	613	472
565	614	471
566	615	469
567	616	468
568	618	468
569	619	467
570	620	465
571	620	464
572	621	463
573	622	462
574	623	460
575	624	459
576	625	458
577	626	457
578	628	456
579	628	455
580	630	454
581	631	453
582	632	452
583	633	451
584	634	450
585	635	448
586	637	448
587	639	448
588	640	447
589	641	445
590	643	445
591	645	444
592	646	443
593	647	442
594	648	441
595	650	440
596	651	439
597	652	438
598	653	437
599	654	436
600	656	435
601	657	434
602	658	433
603	659	432
604	660	431
605	671	436
606	672	435
607	674	434
608	675	433
609	676	432
610	678	432
611	680	431
612	681	430
613	682	428
614	683	427
615	684	426
